,code,name,pageRank,embedding,tsne,community,pca_x,pca_y,tsne_x,tsne_y,時価総額,セクター_en,従業員数,PBR,総収入,純利益,年,名前,セクター,address,lon,lat,start_value,end_value,return_ratio,log_price_rate,marker,color_default
272,2282,日本ハム,2.5514110445098246,"[-0.5093013644218445, 1.0368223190307617, 2.013044834136963, -1.9808437824249268, 0.40692785382270813, 3.832585573196411, -4.672793388366699, -0.1533619910478592, 1.0677570104599, 0.006298982538282871]","[75.57659149169922, 18.571693420410156]",272,0.2850640987830065,0.11477039164458615,75.57659149169922,18.571693420410156,512737771520.0,Consumer Defensive,17339.0,1.2142668,1229826000000.0,19214000000.0,2020.0,日本ハム,食品,〒530-0001 大阪市北区梅田２−４−９ ブリーゼタワー,34.695431,135.496826,4405.39,4540.0,0.03055575102317835,0.030098220829348345,-,blue
273,2286,林兼産業,0.8098167952499352,"[0.14658403396606445, -0.09903584420681, 0.7509098649024963, -1.4588185548782349, -1.2363754510879517, 2.9121813774108887, -1.9703954458236694, -0.37600642442703247, 0.5225281715393066, -0.2955896556377411]","[68.6013412475586, 16.32297706604004]",275,0.3181152278178655,-0.04877217233502809,68.6013412475586,16.32297706604004,5978582016.0,Consumer Defensive,571.0,0.6577528,45175000000.0,874000000.0,2020.0,林兼産業,食品,〒750-8608 山口県下関市大和町２−４−８,33.940456,130.919052,698.65,575.0,-0.17698418378301006,-0.19477986072910644,-,blue
274,2288,丸大食品,2.499722759798169,"[-0.4463472068309784, 1.0063798427581787, 2.0658905506134033, -2.036693572998047, 0.4230457544326782, 3.965191602706909, -4.688207626342773, -0.18911345303058624, 1.0993460416793823, 0.010182095691561699]","[75.57315826416016, 18.571556091308594]",272,0.2977878584761785,0.10672059142875975,75.57315826416016,18.571556091308594,44962779136.0,Consumer Defensive,1938.0,0.5904036,245820000000.0,1653000000.0,2020.0,丸大食品,食品,〒569-8577 大阪府高槻市緑町２１−３,34.85321,135.641846,2240.73,1692.0,-0.2448889424428646,-0.28089044444851713,-,blue
275,2291,福留ハム,0.9584029106772504,"[0.40033048391342163, 0.13329564034938812, 1.0486446619033813, -1.4424630403518677, -0.9767267107963562, 2.942898750305176, -2.4644830226898193, -0.42724695801734924, 0.46296557784080505, -0.20005716383457184]","[68.58415985107422, 16.220596313476562]",275,0.3422541497955764,-0.011621761930675774,68.58415985107422,16.220596313476562,6740881408.0,Consumer Defensive,378.0,1.5292372,25597000000.0,-1404000000.0,2020.0,福留ハム,食品,〒733-0832 広島市西区草津港２−６−７５,34.361678999999995,132.397964,2044.45,1875.0,-0.0828829269485681,-0.08652014524395872,-,blue
276,2292,Ｓ,0.2430127929602451,"[-0.03790164738893509, -0.18007834255695343, 0.6335510611534119, -0.8155732154846191, 0.2233114391565323, 1.0916515588760376, -0.7733270525932312, -0.011269384995102882, 0.11275795847177505, 0.4471112787723541]","[-12.722209930419922, -34.46633529663086]",272,0.29463573374822155,-0.27794491480080974,-12.722209930419922,-34.46633529663086,115752755200.0,Consumer Defensive,2438.0,1.3387479,351972000000.0,6511000000.0,2020.0,Ｓ　Ｆｏｏｄｓ,食品,〒663-8142 兵庫県西宮市鳴尾浜１−２２−１３,34.693745,135.365753,2759.93,3333.42,0.2077915019583831,0.18879348689935296,-,blue
277,2293,滝沢ハム,1.374119912809692,"[0.4457358121871948, -0.2375379502773285, 0.7265422940254211, -1.520011305809021, -1.2859646081924438, 3.288378953933716, -2.3280248641967773, -0.5725719332695007, 0.5725221037864685, -0.3094908595085144]","[68.55349731445312, 16.26395606994629]",275,0.35421631622664507,-0.02351462056680494,68.55349731445312,16.26395606994629,6766710784.0,Consumer Defensive,377.0,1.8483241,29580000000.0,-146000000.0,2020.0,滝沢ハム,食品,〒328-8586 栃木市泉川町５５６,36.38619600000001,139.709183,3174.56,3060.0,-0.03608689078171461,-0.03675412409973368,-,blue
278,2294,(株)柿安本店,1.9959965807036497,"[-0.27547889947891235, -1.3469181060791016, 0.5813444256782532, -4.273773670196533, -0.47363126277923584, 2.8295726776123047, -1.666089415550232, 2.611271619796753, 1.377801537513733, 0.45310840010643005]","[4.480654239654541, 81.05559539794922]",278,-0.026062727934959933,-0.1599385257819256,4.480654239654541,81.05559539794922,27164200960.0,Consumer Defensive,1053.0,1.971868,43957000000.0,1671000000.0,2018.0,柿安本店,外食・娯楽サービス,〒511-8555 三重県桑名市吉之丸８,35.060318,136.702682,2909.78,2532.96,-0.12950119940339136,-0.1386888976075724,-,blue
279,2296,伊藤ハム米久ホールディングス,1.9719991656073592,"[-0.30374422669410706, 0.9791364669799805, 1.9731088876724243, -1.940675973892212, -0.003973438870161772, 3.785461664199829, -4.595987319946289, -0.3981699049472809, 0.8805158138275146, 0.041474759578704834]","[75.5479507446289, 18.5668888092041]",272,0.2909764548656259,0.09196291374618064,75.5479507446289,18.5668888092041,225701773312.0,Consumer Defensive,8327.0,0.93537647,852450000000.0,11439000000.0,2020.0,伊藤ハム米久ホールディングス,食品,〒153-8587 東京都目黒区三田１−６−２１,35.635224997202,139.71718610646002,687.14,673.0,-0.02057804814157229,-0.02079272638696318,-,blue
280,2300,(株)きょくとう,1.1142714131157847,"[-0.4260822832584381, 1.3172768354415894, 1.485475778579712, -2.6610333919525146, -0.5005026459693909, 0.8984647393226624, -0.7267131209373474, 3.242466449737549, 2.6273465156555176, -1.0481772422790527]","[-10.301910400390625, 42.44235610961914]",3644,-0.11650488893970916,0.17476216646841441,-10.301910400390625,42.44235610961914,2599047680.0,Consumer Cyclical,253.0,0.80493915,7198716000.0,172746000.0,2010.0,きょくとう,他個人サービス・製品,〒812-0863 福岡市博多区金の隈１−２８−５３,33.557182,130.47293100000002,603.25,512.2,-0.15093244923331944,-0.1636165307397162,-,blue
281,2301,(株)学情,0.3496442530869731,"[0.34012266993522644, -0.5094478726387024, 1.0623594522476196, -0.043219733983278275, -0.3487984240055084, 1.1399452686309814, -0.1560078263282776, -0.3144550621509552, -0.013768586330115795, -0.5265247225761414]","[25.497407913208008, -23.625377655029297]",3652,0.547973972703351,-0.28076345338558395,25.497407913208008,-23.625377655029297,22152636416.0,Industrials,144.0,4.0676804,2309936000.0,132458000.0,2010.0,学情,他産業サービス・製品,〒530-0001 大阪市北区梅田２−５−１０,34.694527,135.495224,2221.0,1460.0,-0.34263845114813146,-0.4195211091920454,-,blue
282,2303,(株)ドーン,0.2504492285251178,"[-0.2244293987751007, 0.08135754615068436, 0.6776339411735535, 0.27462974190711975, -0.026495229452848434, 0.46126997470855713, -0.21539820730686188, 0.2040170580148697, 0.7030341029167175, -0.5923823714256287]","[10.807640075683594, -42.35161209106445]",960,0.24317788961968712,0.335539295275649,10.807640075683594,-42.35161209106445,9862723584.0,Technology,52.0,5.719087,1050000000.0,200000000.0,2020.0,ドーン,パッケージソフト,〒651-0086 神戸市中央区磯上通２−２−２１,34.690666,135.20474199999998,1613.8,3435.0,1.1285165448010908,0.7554252792420436,-,blue
283,2304,(株)ＣＳＳホールディングス,0.15000000000000002,"[-1.0905377864837646, -0.1415305882692337, 0.5644007921218872, 0.038668159395456314, -0.9246930480003357, 1.2070306539535522, -0.5877107381820679, 0.330795019865036, 0.08817536383867264, 0.5195642113685608]","[-53.852291107177734, -4.548885345458984]",334,-0.26438668361676565,-0.2599725619869022,-53.852291107177734,-4.548885345458984,1471665152.0,Industrials,529.0,0.58349556,11962000000.0,23000000.0,2020.0,ＣＳＳホールディングス,外食・娯楽サービス,〒103-0001 東京都中央区日本橋小伝馬町１０−１,35.68809500000001,139.78212,373.28,273.0,-0.26864552078868403,-0.31285701308815994,-,blue
284,2305,(株)スタジオアリス,0.25157212462048273,"[0.06712612509727478, -0.5332017540931702, 0.8540933728218079, -0.5922002196311951, 0.03844170272350311, 0.4940617084503174, -0.12972939014434814, -0.036505088210105896, 0.2385004162788391, 0.059911973774433136]","[16.53915786743164, -25.1424560546875]",284,0.3395075800827875,-0.439303796580308,16.53915786743164,-25.1424560546875,35683803136.0,Consumer Cyclical,1666.0,1.4351436000000002,38879000000.0,1209000000.0,2020.0,スタジオアリス,他個人サービス・製品,〒530-0001 大阪市北区梅田１−８−１７ 大阪第一生命ビル,34.697418,135.499496,1801.0,1882.18,0.045074958356468665,0.04408861332892517,-,blue
285,2307,(株)クロスキャット,0.740107915358385,"[-0.19652819633483887, -0.263621062040329, 0.45895206928253174, -0.11436435580253601, 0.19868104159832, 1.018967866897583, -0.7637501358985901, -0.034894563257694244, 1.1450790166854858, -1.9618719816207886]","[28.985715866088867, -55.262752532958984]",308,0.48066962069337693,0.47132688108029736,28.985715866088867,-55.262752532958984,8853351424.0,Technology,612.0,2.600104,9674000000.0,495000000.0,2020.0,クロスキャット,ＳＩ・ソフトウェア開発,〒108-0075 東京都港区港南１−２−７０ 品川シーズンテラス,35.629366664744,139.74643610817,1114.63,1185.0,0.06313305760655992,0.061220263310634675,-,blue
286,2309,シミックホールディングス,1.239405882032588,"[0.8913427591323853, -1.338051199913025, 0.5650631189346313, -1.4233882427215576, -0.9751738905906677, 2.4791104793548584, -0.8986678123474121, 2.072770833969116, 1.3455191850662231, -3.067993402481079]","[61.229530334472656, 38.59523010253906]",286,0.2301792475694207,0.1920914066320388,61.229530334472656,38.59523010253906,29053181952.0,Healthcare,5464.0,1.1839118,76098000000.0,1505000000.0,2020.0,シミックホールディングス,ヘルスケア製品・サービス,〒105-0023 東京都港区芝浦１−１−１,35.645981834873,139.76239729965,1799.21,1355.0,-0.2468916913534273,-0.2835462253416481,-,blue
287,2311,(株)エプコ,0.3343637958154431,"[0.2847994267940521, -0.5725514888763428, 0.8911399245262146, 0.6688171625137329, 0.6515904068946838, 0.7432351112365723, -0.312663733959198, 0.4562820494174957, 1.4848284721374512, -1.5456212759017944]","[25.524871826171875, -57.92405319213867]",1498,0.4037286790119876,0.46185039749549467,25.524871826171875,-57.92405319213867,8466361856.0,Industrials,,1.9813544,4380000000.0,438000000.0,2020.0,エプコ,建設・土木,〒130-0012 東京都墨田区太平４−１−３ オリナスタワー,35.697561115131,139.81858055556998,1414.46,971.0,-0.31351894009021114,-0.3761766435067965,-,blue
288,2315,(株)ＣＡＩＣＡ,0.23931547071842937,"[0.1843867003917694, 0.3505314588546753, 0.5198544859886169, 0.1259419173002243, 0.11461354047060013, 0.9472008347511292, -0.4565775990486145, -0.043561745434999466, 0.9231486320495605, -1.3707990646362305]","[28.202238082885742, -52.83560562133789]",975,0.5642102103357515,0.48746022291496377,28.202238082885742,-52.83560562133789,33013657600.0,Technology,428.0,3.6358552,6003000000.0,-557000000.0,2020.0,ＣＡＩＣＡ,ＳＩ・ソフトウェア開発,〒107-0062 東京都港区南青山５−１１−９ レキシントン青山,35.65861510218036,139.7157589574891,26.0,16.0,-0.38461538461538464,-0.4855078157817008,-,blue
289,2317,(株)システナ,0.7355948437936602,"[-0.3499251902103424, 0.5100715756416321, 0.3072349727153778, -0.3057482838630676, 0.4838423728942871, 1.7403126955032349, -0.985396683216095, 0.01849639043211937, 1.1177538633346558, -1.8569798469543457]","[30.421829223632812, -54.08770751953125]",3659,0.5243130412780567,0.44810282309443716,30.421829223632812,-54.08770751953125,196395171840.0,Technology,3281.0,8.009416,64552000000.0,5471000000.0,2020.0,システナ,通信サービス,〒105-0022 東京都港区海岸１−２−２０ 汐留ビルディング,35.653560999999996,139.76271100000002,1754.58,2163.0,0.2327736552337312,0.2092666349331096,-,blue
290,2321,(株)ソフトフロントホールディングス,0.34280808460935075,"[0.31432169675827026, -0.06790833175182343, 0.6906425356864929, -0.20643602311611176, 0.7804788947105408, 0.5088789463043213, -0.1797143816947937, 0.5152873396873474, 1.3242021799087524, -0.4809303879737854]","[15.508491516113281, -51.80373001098633]",976,0.38061359943242234,0.35019055698246804,15.508491516113281,-51.80373001098633,3996446464.0,Technology,16.0,22.201807,291000000.0,-193000000.0,2020.0,ソフトフロントホールディングス,ＳＩ・ソフトウェア開発,〒102-0075 東京都千代田区三番町６−２６ 住友不動産三番町ビル,35.686905551967,139.74776388402,126.0,127.0,0.007936507936507936,0.007905179507113247,-,blue
291,2323,(株)ｆｏｎｆｕｎ,0.2518023273235765,"[0.18773849308490753, -0.3592986762523651, 0.13494423031806946, -0.583390474319458, -0.5682385563850403, 0.9218543767929077, -0.5725715756416321, 0.07354621589183807, 0.159846231341362, -0.14119921624660492]","[-14.11555004119873, -42.28969955444336]",948,0.20541942403067165,-0.09670994679221658,-14.11555004119873,-42.28969955444336,1754914816.0,Technology,16.0,3.1224215,545000000.0,3000000.0,2020.0,ｆｏｎｆｕｎ,通信サービス,〒151-0073 東京都渋谷区笹塚２−１−６ 笹塚センタービル,35.67337,139.673553,409.0,460.0,0.12469437652811735,0.11751133344033901,-,blue
