,code,時価総額,セクター_en,従業員数,PBR,総収入,純利益,年,名前,セクター,address,lon,lat,display_name,log_price_rate
1487,4829,8989792256.0,Technology,189.0,1.8168546000000003,3588000000.0,176000000.0,2020.0,日本エンタープライズ,通信サービス,〒150-0002 東京都渋谷区渋谷１−１７−８ 松岡渋谷ビル,35.658035,139.706573,4829 日本エンタープライズ,-0.15954817501927349
1488,4832,26345170944.0,Technology,1835.0,1.4344534,47953000000.0,3180000000.0,2020.0,ＪＦＥシステムズ,ＳＩ・ソフトウェア開発,〒105-0023 東京都港区芝浦１−２−３ シーバンスＳ館,35.646072223604,139.75932778043995,4832 ＪＦＥシステムズ,-0.12987989869830893
1489,4833,5318607872.0,Communication Services,299.0,4.8463845,10866000000.0,-472000000.0,2020.0,ぱど,メディア,〒106-0032 東京都港区六本木６−８−１０ ステップ六本木,35.658084137798475,139.7356261158369,4833 ぱど,-0.7769170636254041
1490,4837,9490607104.0,Consumer Defensive,9281.0,1.3596815,129585000000.0,-1123000000.0,2020.0,シダックス,外食・娯楽サービス,〒150-0041 東京都渋谷区神南１−１２−１０ シダックス・カルチャービレッジ,35.660213889129,139.70416666965,4837 シダックス,-0.0916671885258238
1491,4838,4883574784.0,Communication Services,272.0,1.1887916,15739000000.0,78000000.0,2020.0,スペースシャワーネットワーク,メディア,〒106-8011 東京都港区六本木３−１６−３５,35.659443,139.73988300000002,4838 スペースシャワーネットワーク,-0.23473116648659767
1492,4839,75197202432.0,Communication Services,573.0,1.1732725,82450000000.0,5072000000.0,2020.0,ＷＯＷＯＷ,メディア,〒107-6121 東京都港区赤坂５−２−２０ 赤坂パークビル,35.668621,139.736664,4839 ＷＯＷＯＷ,0.0569530194352903
1493,4840,2592142080.0,Industrials,48.0,0.6174734000000001,1715000000.0,125000000.0,2019.0,トライアイズ,建設・土木,〒102-8578 東京都千代田区紀尾井町４−１ ニューオータニガーデンコート,35.677937,139.73736599999998,4840 トライアイズ,-0.3967745537081349
1494,4845,15431724032.0,Technology,738.0,2.1098362999999996,17025000000.0,321000000.0,2020.0,スカラ,パッケージソフト,〒150-8510 東京都渋谷区渋谷２−２１−１ 渋谷ヒカリエ,35.655686108093,139.70678111413,4845 スカラ,0.07424266774662874
1495,4847,18803283968.0,Technology,,2.7572432,10920848000.0,762053000.0,2020.0,インテリジェント　ウェイブ,金融サービス,〒104-0033 東京都中央区新川１−２１−２ 茅場町タワー,35.673866,139.789001,4847 インテリジェント　ウェイブ,-0.13762653143935027
1496,4848,61743697920.0,Industrials,1060.0,3.9019093999999996,44479000000.0,4644000000.0,2019.0,フルキャストホールディングス,他産業サービス・製品,〒141-0031 東京都品川区西五反田８−９−５ ＦＯＲＥＣＡＳＴ五反田ＷＥＳＴ,35.617474,139.72340400000002,4848 フルキャストホールディングス,-0.41173799418373497
1497,4849,146391040000.0,Industrials,3547.0,4.240414599999999,56848000000.0,7125000000.0,2020.0,エン・ジャパン,他産業サービス・製品,〒163-1335 東京都新宿区西新宿６−５−１,35.68989600000001,139.696365,4849 エン・ジャパン,-0.39576775496217564
1498,4880,60993769472.0,Healthcare,58.0,10.481828,,,,セルソース,ヘルスケア製品・サービス,〒150-0002 東京都渋谷区渋谷１−１９−５,35.659233337966,139.70885277686,4880 セルソース,1.0588949925002435
1499,4883,70565109760.0,Healthcare,16.0,10.863675,,,,モダリス,バイオテクノロジー,〒103-0023 東京都中央区日本橋本町３−１１−５ 日本橋ライフサイエンスビル,35.68587769136206,139.78057189768958,4883 モダリス,0.0
1500,4901,2266273415168.0,Industrials,73906.0,1.1249598,2315141000000.0,124987000000.0,2020.0,富士フイルムホールディングス,電子部品・産業用電子機器,〒107-0052 東京都港区赤坂９−７−３ 東京ミッドタウン,35.663605,139.733734,4901 富士フイルムホールディングス,0.048507839186866075
1501,4902,167388086272.0,Industrials,42055.0,0.33893886,996101000000.0,-3073000000.0,2020.0,コニカミノルタ,事務機器,〒100-7015 東京都千代田区丸の内２−７−２ ＪＰタワー,35.676479,139.76799,4902 コニカミノルタ,-0.5611809149142442
1502,4911,2954628169728.0,Consumer Defensive,40000.0,6.3924294,1131547000000.0,73562000000.0,2019.0,資生堂,トイレタリー・化粧品,〒104-0061 東京都中央区銀座７−５−５,35.666557,139.764496,4911 資生堂,-0.07947122671363781
1503,4912,723867926528.0,Consumer Defensive,7151.0,3.1956877999999995,347519000000.0,20559000000.0,2019.0,ライオン,トイレタリー・化粧品,〒130-8644 東京都墨田区本所１−３−７,35.699631,139.799423,4912 ライオン,0.17069050136053193
1504,4914,48618663936.0,Basic Materials,3572.0,0.5146980999999999,152455000000.0,3408000000.0,2020.0,高砂香料工業,食品,〒144-8721 東京都大田区蒲田５−３７−１,35.557426,139.72142,4914 高砂香料工業,-0.047409181364790616
1505,4917,73984360448.0,Consumer Defensive,2954.0,1.1268302,81774000000.0,4445000000.0,2020.0,マンダム,トイレタリー・化粧品,〒540-8530 大阪市中央区十二軒町５−１２,34.673721,135.518112,4917 マンダム,-0.555112985052895
1506,4918,2679312384.0,Consumer Defensive,179.0,1.5796421999999999,5624000000.0,-88000000.0,2018.0,アイビー化粧品,トイレタリー・化粧品,〒107-8463 東京都港区赤坂６−１８−３,35.665512,139.737762,4918 アイビー化粧品,-0.6693836861077596
1507,4919,195911090176.0,Consumer Defensive,862.0,5.7355704,36266000000.0,4517000000.0,2019.0,ミルボン,トイレタリー・化粧品,〒104-0031 東京都中央区京橋２−２−１ 京橋エドグラン,35.673756451149,139.77313250012,4919 ミルボン,0.06778681498207248
1508,4920,2915341312.0,Consumer Defensive,484.0,0.7807541,12207000000.0,283000000.0,2020.0,日本色材工業研究所,トイレタリー・化粧品,〒108-0073 東京都港区三田５−３−１３,35.644146,139.74156200000002,4920 日本色材工業研究所,-0.7409265135336207
1509,4921,506946387968.0,Consumer Defensive,1432.0,7.392353999999999,126810000000.0,9985000000.0,2020.0,ファンケル,トイレタリー・化粧品,〒231-8528 横浜市中区山下町８９−１,35.441971,139.64666699999998,4921 ファンケル,0.35758839694118694
1510,4922,914977718272.0,Consumer Defensive,8246.0,4.2454867,327724000000.0,26682000000.0,2020.0,コーセー,トイレタリー・化粧品,〒103-8251 東京都中央区日本橋３−６−２,35.676506,139.77562,4922 コーセー,0.1021138976906882
1511,4923,27212482560.0,Consumer Defensive,327.0,3.5109212,7460000000.0,1035000000.0,2020.0,コタ,トイレタリー・化粧品,〒613-0036 京都府久世郡久御山町田井新荒見７７,34.880783,135.74379,4923 コタ,-0.08695818408555056
1512,4925,15088503808.0,Consumer Defensive,724.0,1.2987162,18369000000.0,1313000000.0,2020.0,ハーバー研究所,トイレタリー・化粧品,〒101-0041 東京都千代田区神田須田町１−２４−１１,35.691513,139.774109,4925 ハーバー研究所,-0.5328829887829413
1513,4926,8458584064.0,Consumer Defensive,1047.0,1.1172351,11101000000.0,-1070000000.0,2020.0,シーボン,トイレタリー・化粧品,〒216-8556 川崎市宮前区菅生１−２０−８,35.599514,139.556213,4926 シーボン,-0.26594324990484447
1514,4927,461686145024.0,Consumer Defensive,4048.0,2.7692046,219920000000.0,19694000000.0,2019.0,ポーラ・オルビスホールディングス,トイレタリー・化粧品,〒104-0061 東京都中央区銀座１−７−７ ポーラ銀座ビル,35.671173,139.771255,4927 ポーラ・オルビスホールディングス,-0.1961384293025089
1515,4928,148068859904.0,Consumer Defensive,,2.8487315,51841000000.0,5618000000.0,2020.0,ノエビアホールディングス,トイレタリー・化粧品,〒650-8521 神戸市中央区港島中町６−１３−１,34.662552000000005,135.21438600000002,4928 ノエビアホールディングス,-0.2087560823736577
1516,4929,8141606400.0,Consumer Defensive,193.0,2.1130557,4674000000.0,-227000000.0,2020.0,アジュバンコスメジャパン,トイレタリー・化粧品,〒650-0011 神戸市中央区下山手通５−５−５,34.686783,135.186035,4929 アジュバンコスメジャパン,0.07964085653392218
1517,4931,67155460096.0,Healthcare,,4.7101207,,,,新日本製薬,トイレタリー・化粧品,〒810-0074 福岡市中央区大手門１−４−７,33.585694447258,130.38721111456002,4931 新日本製薬,0.6931190218574964
1518,4951,45657333760.0,Consumer Defensive,1032.0,1.4380698,47545000000.0,2261000000.0,2020.0,エステー,トイレタリー・化粧品,〒161-8540 東京都新宿区下落合１−４−１０,35.71195200000001,139.705475,4951 エステー,0.14589748673859182
1519,4952,7079015936.0,Basic Materials,496.0,1.0648485,14988000000.0,-203000000.0,2017.0,エス・ディー・エス　バイオテック,化学,〒103-0004 東京都中央区東日本橋１−１−５ ヒューリック東日本橋ビル,35.687225,139.78833,4952 エス・ディー・エス　バイオテック,0.05643880001010936
1520,4955,22429853696.0,Basic Materials,267.0,1.2043941,14569000000.0,966000000.0,2019.0,アグロ　カネショウ,化学,〒107-0052 東京都港区赤坂４−２−１９ 赤坂シャスタ・イースト,35.671833,139.738113,4955 アグロ　カネショウ,0.013086455841383217
1521,4956,58143617024.0,Basic Materials,1344.0,0.9610886000000001,135180000000.0,4585000000.0,2020.0,コニシ,化学,〒541-0045 大阪市中央区道修町１−７−１,34.684998,135.509659,4956 コニシ,0.09650036777320709
1522,4957,5907894784.0,Basic Materials,286.0,0.37831062,10560155000.0,497995000.0,2010.0,ヤスハラケミカル,化学,〒726-8632 広島県府中市高木町１０８０,34.555729,133.252731,4957 ヤスハラケミカル,-0.1467466215000002
1523,4958,83655278592.0,Basic Materials,,0.9071471,50192000000.0,5090000000.0,2020.0,長谷川香料,食品,〒103-8431 東京都中央区日本橋本町４−４−１４,35.687104959173006,139.77666667120002,4958 長谷川香料,0.03625773384325531
1524,4960,3522473984.0,Basic Materials,193.0,0.98517203,6884043000.0,-260281000.0,2010.0,ケミプロ化成,化学,〒650-0034 神戸市中央区京町８３,34.683887,135.196411,4960 ケミプロ化成,-0.14140355152042144
1525,4962,6487397888.0,Basic Materials,266.0,0.46598366,7112000000.0,316000000.0,2020.0,互応化学工業,化学,〒611-0043 京都府宇治市伊勢田町井尻５８,34.882187,135.77508500000002,4962 互応化学工業,-0.17925840173847762
1526,4963,22710728704.0,Basic Materials,684.0,0.8644439,27970000000.0,1961000000.0,2019.0,星光ＰＭＣ,化学,〒103-0023 東京都中央区日本橋本町３−３−６,35.685501,139.777466,4963 星光ＰＭＣ,-0.30231620482160065
1527,4966,64003411968.0,Basic Materials,1656.0,0.98504704,52223000000.0,5358000000.0,2020.0,上村工業,電子部品・産業用電子機器,〒541-0045 大阪市中央区道修町３−２−６,34.68507,135.505966,4966 上村工業,-0.07086194010803182
1528,4967,985637978112.0,Consumer Defensive,3435.0,5.4796615,168052000000.0,19139000000.0,2019.0,小林製薬,トイレタリー・化粧品,〒541-0045 大阪市中央区道修町４−４−１０,34.685356,135.501816,4967 小林製薬,0.3144402850727433
1529,4968,23092711424.0,Basic Materials,1557.0,0.43228647,72967000000.0,1732000000.0,2020.0,荒川化学工業,化学,〒541-0046 大阪市中央区平野町１−３−７,34.684090000000005,135.511627,4968 荒川化学工業,-0.2955672172802626
1530,4970,85879529472.0,Basic Materials,503.0,14.640792999999999,14944000000.0,-673000000.0,2014.0,東洋合成工業,電子部品・産業用電子機器,〒111-0053 東京都台東区浅草橋１−２２−１６ ヒューリック浅草橋ビル,35.694508,139.787521,4970 東洋合成工業,0.9949625576019822
1531,4971,45110231040.0,Basic Materials,397.0,2.6868868,10865000000.0,1236000000.0,2019.0,メック,電子部品・産業用電子機器,〒660-0822 兵庫県尼崎市杭瀬南新町３−４−１,34.710772225658005,135.43160555691003,4971 メック,0.417466351217526
1532,4972,14575237120.0,Basic Materials,1062.0,0.6134027,28699000000.0,1635000000.0,2020.0,綜研化学,化学,〒171-8531 東京都豊島区高田３−２９−５,35.712955,139.70877099999998,4972 綜研化学,0.3707449657380838
1533,4973,15774166016.0,Basic Materials,45.0,1.315936,12969000000.0,858000000.0,2020.0,日本高純度化学,電子部品・産業用電子機器,〒179-0081 東京都練馬区北町３−１０−１８,35.765251,139.657669,4973 日本高純度化学,0.05163651888866484
1534,4974,359200915456.0,Healthcare,1485.0,5.350644,34565000000.0,3819000000.0,2020.0,タカラバイオ,バイオテクノロジー,〒525-0058 滋賀県草津市野路東７−４−３８,34.986411114942996,135.95236666998002,4974 タカラバイオ,0.30053405604391026
